product_id,product_name,price,cogs,category_id
1,Product_1,19.88,55.96,2
2,Product_2,407.65,248.14,4
3,Product_3,171.42,148.4,2
4,Product_4,28.26,192.75,3
5,Product_5,446.55,182.08,5
6,Product_6,323.63,23.47,3
7,Product_7,458.68,88.62,1
8,Product_8,84.54,118.44,4
9,Product_9,185.28,97.75,1
10,Product_10,473.03,219.24,2
11,Product_11,246.38,87.03,4
12,Product_12,376.42,241.16,3
13,Product_13,66.37,59.56,5
14,Product_14,13.85,17.24,1
15,Product_15,271.84,154.73,1
16,Product_16,301.82,93.51,1
17,Product_17,60.92,208.56,1
18,Product_18,406.48,154.81,5
19,Product_19,214.33,67.16,3
20,Product_20,175.08,8.38,3
21,Product_21,246.38,58.78,5
22,Product_22,128.94,14.47,3
23,Product_23,358.33,32.43,3
24,Product_24,368.48,132.86,5
25,Product_25,167.47,234.5,3
26,Product_26,479.62,51.14,4
27,Product_27,113.9,163.57,1
28,Product_28,419.67,136.65,4
29,Product_29,228.92,56.27,5
30,Product_30,441.18,163.01,3
31,Product_31,315.19,209.91,1
32,Product_32,457.04,50.27,5
33,Product_33,24.06,241.12,5
34,Product_34,390.4,196.65,4
35,Product_35,312.92,10.72,3
36,Product_36,484.37,188.54,3
37,Product_37,226.85,125.29,2
38,Product_38,375.02,27.1,5
39,Product_39,97.48,163.76,4
40,Product_40,88.69,9.12,3
41,Product_41,413.64,72.18,1
42,Product_42,61.86,107.44,2
43,Product_43,379.58,93.75,2
44,Product_44,271.61,99.49,5
45,Product_45,40.97,247.14,5
46,Product_46,311.44,27.7,4
47,Product_47,481.44,90.02,5
48,Product_48,124.68,13.06,1
49,Product_49,231.95,106.25,1
50,Product_50,434.66,152.05,5
51,Product_51,434.52,109.38,3
52,Product_52,468.53,154.81,2
53,Product_53,210.91,35.64,4
54,Product_54,44.66,205.47,2
55,Product_55,101.88,51.91,4
56,Product_56,282.68,80.42,3
57,Product_57,122.87,200.23,5
58,Product_58,425.17,148.4,2
59,Product_59,235.36,155.94,2
60,Product_60,497.92,191.84,2
61,Product_61,57.09,179.06,5
62,Product_62,398.92,221.14,3
63,Product_63,37.68,109.1,2
64,Product_64,328.44,108.52,2
65,Product_65,391.33,62.05,4
66,Product_66,422.15,161.19,1
67,Product_67,207.17,124.56,1
68,Product_68,156.05,209.85,5
69,Product_69,444.45,197.83,3
70,Product_70,422.27,163.59,3
71,Product_71,166.18,49.11,2
72,Product_72,388.21,63.71,3
73,Product_73,43.83,39.67,3
74,Product_74,18.32,28.58,3
75,Product_75,181.94,153.47,2
76,Product_76,93.74,88.63,5
77,Product_77,279.34,12.77,3
78,Product_78,487.79,64.41,4
79,Product_79,232.61,38.37,5
80,Product_80,255.54,209.04,3
81,Product_81,257.74,100.48,1
82,Product_82,200.93,189.27,5
83,Product_83,464.76,9.67,1
84,Product_84,98.17,165.47,2
85,Product_85,246.26,5.25,2
86,Product_86,387.52,135.55,4
87,Product_87,360.24,57.05,3
88,Product_88,471.78,75.13,1
89,Product_89,361.97,178.29,4
90,Product_90,205.35,153.13,3
91,Product_91,286.82,184.54,4
92,Product_92,40.64,50.82,2
93,Product_93,29.09,103.7,1
94,Product_94,203.91,29.57,3
95,Product_95,489.64,142.65,4
96,Product_96,98.63,208.96,5
97,Product_97,236.51,140.73,1
98,Product_98,317.02,93.25,5
99,Product_99,22.96,46.91,2
100,Product_100,25.02,48.19,3
101,Product_101,478.81,32.06,4
102,Product_102,69.81,86.46,1
103,Product_103,222.62,70.29,3
104,Product_104,449.81,21.92,1
105,Product_105,320.67,187.56,4
106,Product_106,366.89,13.48,2
107,Product_107,139.34,134.47,4
108,Product_108,437.83,33.74,5
109,Product_109,327.16,228.69,5
110,Product_110,45.33,149.78,5
111,Product_111,453.58,180.82,4
112,Product_112,31.22,64.1,4
113,Product_113,486.03,232.86,3
114,Product_114,74.73,83.16,1
115,Product_115,298.94,237.78,4
116,Product_116,441.47,30.5,2
117,Product_117,423.88,84.49,3
118,Product_118,63.23,84.63,2
119,Product_119,60.25,214.41,4
120,Product_120,463.52,169.73,3
121,Product_121,294.23,84.79,3
122,Product_122,371.23,220.45,2
123,Product_123,424.56,108.7,3
124,Product_124,243.48,133.99,4
125,Product_125,499.01,113.03,1
126,Product_126,97.25,76.22,2
127,Product_127,499.56,215.12,1
128,Product_128,200.76,247.15,5
129,Product_129,390.58,97.85,3
130,Product_130,291.98,99.12,2
131,Product_131,249.56,72.21,4
132,Product_132,368.33,157.94,1
133,Product_133,91.03,125.44,2
134,Product_134,181.16,53.35,2
135,Product_135,66.97,77.46,3
136,Product_136,384.38,56.66,2
137,Product_137,243.33,31.84,4
138,Product_138,238.1,84.82,5
139,Product_139,327.85,22.98,5
140,Product_140,247.31,191.38,5
141,Product_141,242.23,120.5,1
142,Product_142,274.46,107.21,1
143,Product_143,367.42,209.87,4
144,Product_144,375.48,52.38,4
145,Product_145,307.07,76.72,1
146,Product_146,28.01,72.32,1
147,Product_147,250.41,50.96,1
148,Product_148,334.84,124.48,2
149,Product_149,247.63,198.4,1
150,Product_150,16.86,75.19,5
151,Product_151,34.47,89.71,2
152,Product_152,443.98,244.33,4
153,Product_153,70.51,133.11,3
154,Product_154,348.14,98.43,3
155,Product_155,292.2,137.56,2
156,Product_156,381.78,102.44,1
157,Product_157,68.5,129.74,4
158,Product_158,408.71,204.66,1
159,Product_159,250.11,245.48,3
160,Product_160,68.25,16.0,3
161,Product_161,130.49,234.99,2
162,Product_162,480.3,171.39,5
163,Product_163,61.97,166.31,5
164,Product_164,492.7,207.36,3
165,Product_165,389.13,12.94,2
166,Product_166,334.56,77.02,4
167,Product_167,329.6,244.9,1
168,Product_168,242.1,186.13,2
169,Product_169,175.36,212.7,5
170,Product_170,459.23,128.48,1
171,Product_171,252.47,122.07,3
172,Product_172,93.17,128.12,1
173,Product_173,166.21,217.29,1
174,Product_174,236.75,156.82,2
175,Product_175,110.39,48.7,2
176,Product_176,373.89,239.52,3
177,Product_177,296.88,94.65,5
178,Product_178,319.95,33.25,5
179,Product_179,137.81,249.63,1
180,Product_180,213.32,97.95,5
181,Product_181,413.04,55.64,2
182,Product_182,455.06,247.9,3
183,Product_183,382.45,79.16,1
184,Product_184,40.13,211.19,4
185,Product_185,414.58,44.84,4
186,Product_186,326.66,45.36,3
187,Product_187,67.16,40.25,2
188,Product_188,385.29,202.07,5
189,Product_189,53.33,148.58,2
190,Product_190,104.86,210.91,5
191,Product_191,163.27,49.22,1
192,Product_192,77.65,56.69,4
193,Product_193,225.14,214.01,4
194,Product_194,170.25,207.13,4
195,Product_195,464.8,91.99,4
196,Product_196,349.03,231.09,2
197,Product_197,444.02,113.66,5
198,Product_198,172.29,239.71,3
199,Product_199,262.25,183.07,5
200,Product_200,499.68,97.08,3
201,Product_201,457.28,129.62,3
202,Product_202,235.38,89.38,4
203,Product_203,58.11,12.71,3
204,Product_204,48.3,104.07,1
205,Product_205,28.99,7.06,5
206,Product_206,336.86,188.28,1
207,Product_207,96.97,135.91,4
208,Product_208,333.24,244.79,4
209,Product_209,209.72,120.32,5
210,Product_210,345.27,227.83,4
211,Product_211,151.69,37.89,4
212,Product_212,457.47,62.16,5
213,Product_213,181.74,172.61,2
214,Product_214,333.05,10.92,4
215,Product_215,298.18,47.72,5
216,Product_216,329.1,214.7,2
217,Product_217,215.38,71.66,1
218,Product_218,85.73,6.82,4
219,Product_219,160.12,109.86,4
220,Product_220,33.12,212.84,3
221,Product_221,476.26,116.55,3
222,Product_222,244.54,69.06,3
223,Product_223,311.69,34.04,5
224,Product_224,486.13,82.57,3
225,Product_225,305.06,58.85,4
226,Product_226,72.37,227.14,1
227,Product_227,412.93,110.31,2
228,Product_228,337.08,211.07,1
229,Product_229,97.58,191.24,2
230,Product_230,264.13,138.15,1
231,Product_231,102.73,72.84,3
232,Product_232,49.29,93.27,5
233,Product_233,468.39,197.93,2
234,Product_234,274.37,139.54,3
235,Product_235,356.82,82.64,3
236,Product_236,300.07,149.05,1
237,Product_237,419.23,110.72,3
238,Product_238,306.3,242.49,3
239,Product_239,382.22,25.32,2
240,Product_240,273.72,36.43,1
241,Product_241,271.9,58.69,5
242,Product_242,459.79,141.06,4
243,Product_243,262.97,153.89,2
244,Product_244,157.3,235.64,3
245,Product_245,497.13,208.08,5
246,Product_246,391.05,139.91,4
247,Product_247,281.78,225.95,1
248,Product_248,417.89,230.93,5
249,Product_249,306.15,182.84,2
250,Product_250,475.43,186.85,4
251,Product_251,304.67,21.74,5
252,Product_252,19.16,93.69,4
253,Product_253,104.15,118.31,2
254,Product_254,268.03,107.5,4
255,Product_255,399.51,204.54,5
256,Product_256,342.39,40.99,5
257,Product_257,424.03,211.45,2
258,Product_258,164.84,151.5,5
259,Product_259,279.95,54.1,2
